record_type,period,scope,metric,value,unit,status,formula,input_sources,note
derived,2025,其他财产险,承保利润,-1062.62679,人民币百万元,推算,其他财产险分部营业利润−其他收益,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-1062.626790人民币百万元｜方法：其他财产险分部营业利润−其他收益｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,其他财产险,综合成本率,101.45102632008206,%,推算,(1−其他财产险承保利润/其他财产险收入)×100,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：101.451026%｜方法：(1−其他财产险承保利润/其他财产险收入)×100｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,核心非车_剔除保证险,保险服务收入,106001.77154199999,人民币百万元,推算,意健险收入+其他财产险收入,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：106001.771542人民币百万元｜方法：意健险收入+其他财产险收入｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,核心非车_剔除保证险,承保利润,-874.0019990000001,人民币百万元,推算,意健险利润+其他财产险利润,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-874.001999人民币百万元｜方法：意健险利润+其他财产险利润｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,核心非车_剔除保证险,综合成本率,100.82451640787315,%,推算,(1−核心非车利润/核心非车收入)×100,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：100.824516%｜方法：(1−核心非车利润/核心非车收入)×100｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
bridge,2024→2025,车险,整体COR改善贡献_正值改善负值拖累,1.5219464070510311,个百分点,推算,起点车险整体影响−终点车险整体影响,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：1.521946个百分点｜方法：起点车险整体影响−终点车险整体影响｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2024→2025,保证险,整体COR改善贡献_正值改善负值拖累,0.6935804246392804,个百分点,推算,起点保证险整体影响−终点保证险整体影响,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：0.693580个百分点｜方法：起点保证险整体影响−终点保证险整体影响｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2024→2025,意健险,整体COR改善贡献_正值改善负值拖累,-0.2788793832432208,个百分点,推算,起点意健险整体影响−终点意健险整体影响,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：-0.278879个百分点｜方法：起点意健险整体影响−终点意健险整体影响｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2024→2025,责任险,整体COR改善贡献_正值改善负值拖累,-0.2882371911373338,个百分点,推算,起点责任险整体影响−终点责任险整体影响,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：-0.288237个百分点｜方法：起点责任险整体影响−终点责任险整体影响｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2024→2025,其他财产险_剔除责任险,整体COR改善贡献_正值改善负值拖累,-0.15115399015806952,个百分点,推算,起点剩余其他财产险整体影响−终点整体影响,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：-0.151154个百分点｜方法：起点剩余其他财产险整体影响−终点整体影响｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2024→2025,整体,整体COR改善贡献_正值改善负值拖累,1.4972562671516871,个百分点,推算,五项贡献合计,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：1.497256个百分点｜方法：五项贡献合计｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2023→2025,车险,整体COR改善贡献_正值改善负值拖累,1.2922669673682314,个百分点,推算,起点车险整体影响−终点车险整体影响,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：1.292267个百分点｜方法：起点车险整体影响−终点车险整体影响｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2023→2025,保证险,整体COR改善贡献_正值改善负值拖累,2.7983932153329643,个百分点,推算,起点保证险整体影响−终点保证险整体影响,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：2.798393个百分点｜方法：起点保证险整体影响−终点保证险整体影响｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2023→2025,意健险,整体COR改善贡献_正值改善负值拖累,0.10638724661724117,个百分点,推算,起点意健险整体影响−终点意健险整体影响,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：0.106387个百分点｜方法：起点意健险整体影响−终点意健险整体影响｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2023→2025,责任险,整体COR改善贡献_正值改善负值拖累,-0.0464732412302461,个百分点,推算,起点责任险整体影响−终点责任险整体影响,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：-0.046473个百分点｜方法：起点责任险整体影响−终点责任险整体影响｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2023→2025,其他财产险_剔除责任险,整体COR改善贡献_正值改善负值拖累,-0.3239217641446644,个百分点,推算,起点剩余其他财产险整体影响−终点整体影响,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：-0.323922个百分点｜方法：起点剩余其他财产险整体影响−终点整体影响｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
bridge,2023→2025,整体,整体COR改善贡献_正值改善负值拖累,3.8266524239435267,个百分点,推算,五项贡献合计,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：3.826652个百分点｜方法：五项贡献合计｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
